customer_id,total_spend
CUST1507,42242.380000000005
CUST4777,22127.88
CUST7407,48506.20999999999
CUST2677,22057.449999999993
CUST5995,20236.94
CUST3895,49098.19
CUST8577,30203.1
CUST8716,30949.859999999997
CUST6884,39504.369999999995
CUST7666,37228.42
CUST2416,24128.019999999997
CUST1766,22751.579999999998
CUST4516,26027.77
CUST7018,19255.710000000003
CUST2268,37290.66999999999
CUST7081,28506.110000000004
CUST8434,37127.47
CUST1118,21508.96
CUST4368,14003.39
CUST1181,34771.6
CUST4634,18035.53
CUST1444,30408.15
CUST8168,36761.41
CUST2734,42328.159999999996
CUST7544,36973.54000000001
CUST2555,30795.870000000003
CUST7725,36417.01
CUST8390,22875.65
CUST8309,24739.519999999997
CUST4455,34221.72
CUST1625,33037.29
CUST1379,35726.63
CUST4190,29677.89
CUST4109,15326.150000000001
CUST8655,23284.340000000004
CUST7279,26979.579999999994
CUST2009,43345.81999999999
CUST2090,19777.51
CUST6827,12044.09
CUST4070,43286.47
CUST1200,29674.82
CUST1299,35526.43
CUST7399,26693.489999999998
CUST2170,22214.600000000002
CUST7300,33378.97
CUST9957,24644.649999999998
CUST8270,32572.49
CUST8011,37933.549999999996
CUST8088,31956.29
CUST5936,9597.2
CUST2311,21665.62
CUST7161,22173.28
CUST2388,31579.72
CUST4211,23494.059999999998
CUST4288,26892.91
CUST1061,34970.299999999996
CUST3836,19031.449999999997
CUST7786,27705.179999999997
CUST9814,30027.400000000005
CUST8333,18507.44
CUST1686,12676.41
CUST1343,28314.2
CUST4133,29307.850000000002
CUST6964,33105.33
CUST7243,23747.159999999996
CUST2033,30927.17
CUST7022,17682.91
CUST2252,17267.739999999998
CUST5875,25333.07
CUST3975,23389.090000000004
CUST8497,25280.23
CUST1122,28038.12
CUST4352,37900.04
CUST4697,26614.86
CUST8152,31495.309999999998
CUST2797,28023.839999999997
CUST9727,31706.780000000002
CUST6392,19612.429999999997
CUST3427,26228.43
CUST6657,26453.8
CUST5527,14207.96
CUST9083,33921.54
CUST5746,36298.009999999995
CUST3646,24439.03
CUST6436,21238.44
CUST3383,45892.69
CUST5283,29185.800000000003
CUST9546,37415.310000000005
CUST6714,16375.539999999999
CUST8886,21176.29
CUST3564,28236.29
CUST9338,23668.539999999997
CUST5464,25776.62
CUST5138,44258.23
CUST9664,34844.52999999999
CUST3038,48732.700000000004
CUST6248,41689.93
CUST3259,8644.529999999999
CUST6029,37562.02
CUST9405,38850.05
CUST5359,26494.0
CUST5605,22808.24
CUST9159,25339.609999999997
CUST6575,37027.26
CUST3705,20877.440000000002
CUST9020,34019.049999999996
CUST6495,14237.88
CUST4907,34845.159999999996
CUST6150,21538.53
CUST3320,26739.090000000004
CUST5220,37458.74
CUST2807,17398.86
CUST9784,29981.989999999998
CUST7816,15575.33
CUST5041,29138.239999999998
CUST6331,28413.590000000004
CUST3141,30764.149999999994
CUST1916,24420.690000000002
CUST8966,47251.9
CUST3484,26302.920000000002
CUST5584,20327.99
CUST9241,39247.87
CUST3263,38394.71
CUST6013,24051.22
CUST4844,21779.61
CUST2944,28248.670000000006
CUST5363,24321.79
CUST9163,41493.280000000006
CUST8825,32734.78
CUST9302,16459.09
CUST5102,30757.559999999998
CUST7955,19037.84
CUST1855,18721.660000000003
CUST3002,23879.62
CUST6272,21262.43
CUST9726,20382.76
CUST6393,27238.699999999997
CUST6656,8625.26
CUST3426,16020.26
CUST5526,23523.75
CUST9082,43212.16000000001
CUST5747,21409.5
CUST6437,20369.34
CUST3647,11224.25
CUST3382,38766.55
CUST5282,40539.159999999996
CUST9547,38237.14000000001
CUST3565,25257.769999999993
CUST8887,34646.62
CUST6715,37991.1
CUST9339,22740.28
CUST5465,15209.400000000001
CUST5139,33394.64
CUST9665,21724.8
CUST6249,24181.3
CUST3039,42203.850000000006
CUST6028,15625.15
CUST3258,15656.219999999998
CUST9404,36824.94
CUST5358,32130.120000000003
CUST5604,25407.309999999994
CUST9158,9145.54
CUST3704,38196.81
CUST6574,33957.240000000005
CUST9021,21103.829999999998
CUST6494,28122.059999999998
CUST4906,26031.56
CUST3321,22592.48
CUST6151,15981.150000000003
CUST5221,35349.34
CUST2806,27745.57
CUST9785,22024.960000000003
CUST7817,34296.87
CUST5040,36239.32000000001
CUST3140,40022.590000000004
CUST6330,22463.8
CUST1917,30929.239999999998
CUST3485,44570.61
CUST8967,26507.47
CUST5585,24291.769999999997
CUST9240,39367.29
CUST6012,27177.5
CUST3262,35551.19
CUST4845,29319.05
CUST2945,15325.960000000001
CUST5362,35001.03
CUST9162,40928.11999999999
CUST8824,30318.989999999998
CUST9303,29262.58
CUST5103,19632.48
CUST7954,40663.920000000006
CUST1854,22971.529999999995
CUST6273,25213.8
CUST3003,59628.08999999999
CUST4776,28146.76
CUST1506,35521.840000000004
CUST2676,18835.78
CUST7406,30744.449999999997
CUST5994,23418.619999999995
CUST8576,16431.74
CUST3894,22808.75
CUST6885,21177.630000000005
CUST8717,37016.520000000004
CUST2417,12406.43
CUST7667,43229.65000000001
CUST4517,29154.799999999996
CUST1767,37236.26
CUST7080,28488.719999999998
CUST7019,30589.2
CUST2269,34455.34
CUST8435,40963.16000000001
CUST4369,33954.32
CUST1180,24747.200000000004
CUST1119,26309.250000000004
CUST1445,23841.13
CUST4635,40716.17999999999
CUST8169,23413.149999999998
CUST7545,20838.28
CUST2735,34089.57
CUST7724,22690.499999999996
CUST2554,32079.4
CUST8308,31872.91
CUST8391,6395.57
CUST1624,49346.03
CUST4454,8310.65
CUST4108,36428.76
CUST1378,15012.91
CUST4191,18530.149999999998
CUST8654,38039.06000000001
CUST2008,22929.55
CUST2091,23914.02
CUST7278,11597.32
CUST6826,34696.04
CUST1201,21516.25
CUST1298,26861.77
CUST4071,34513.07
CUST7301,27040.170000000002
CUST7398,16642.72
CUST2171,28635.4
CUST9956,28630.300000000003
CUST8271,19423.34
CUST8089,37693.62
CUST8010,22513.829999999998
CUST5937,21668.149999999998
CUST2389,31228.75
CUST7160,32497.030000000006
CUST2310,30836.48
CUST1060,33619.25
CUST4210,30421.3
CUST4289,10466.26
CUST3837,30312.900000000005
CUST9815,24174.6
CUST7787,49103.29
CUST8332,22980.66
CUST1687,32184.84999999999
CUST4132,47825.25000000001
CUST1342,44264.829999999994
CUST6965,34156.63
CUST2032,26932.5
CUST7242,40481.02
CUST2253,13558.01
CUST7023,21319.170000000002
CUST5874,29474.940000000002
CUST8496,49650.689999999995
CUST3974,28067.460000000006
CUST4353,41495.07000000001
CUST1123,16306.48
CUST4696,19455.780000000002
CUST8153,22615.54
CUST2796,10912.799999999997
CUST9598,27579.86
CUST9501,16260.800000000001
CUST5798,30355.399999999998
CUST5701,38686.79
CUST3698,17101.13
CUST3601,13577.63
CUST6471,34230.66
CUST8982,27244.85
CUST3460,34949.01
CUST6689,16829.23
CUST6610,20239.78
CUST5560,21322.99
CUST9760,39261.270000000004
CUST9187,30805.25
