customer_id,avg_transaction_value
CUST1507,2816.158666666667
CUST4777,2212.788
CUST7407,3233.747333333333
CUST2677,2205.7449999999994
CUST5995,2529.6175
CUST3895,2888.128823529412
CUST8577,2745.7363636363634
CUST8716,2579.1549999999997
CUST6884,3038.797692307692
CUST7666,2659.172857142857
CUST2416,2412.8019999999997
CUST1766,2275.158
CUST4516,2366.160909090909
CUST7018,2139.5233333333335
CUST2268,3107.5558333333324
CUST7081,2591.4645454545457
CUST8434,2320.466875
CUST1118,2688.62
CUST4368,1555.9322222222222
CUST1181,2483.6857142857143
CUST4634,2254.44125
CUST1444,2339.0884615384616
CUST8168,3341.946363636364
CUST2734,3023.4399999999996
CUST7544,2844.1184615384623
CUST2555,2566.3225
CUST7725,3034.7508333333335
CUST8390,2541.738888888889
CUST8309,2473.9519999999998
CUST4455,3802.4133333333334
CUST1625,2541.33
CUST1379,2551.9021428571427
CUST4190,2473.1575
CUST4109,2189.4500000000003
CUST8655,2116.758181818182
CUST7279,1686.2237499999997
CUST2009,2281.3589473684206
CUST2090,2472.18875
CUST6827,1720.5842857142857
CUST4070,2705.404375
CUST1200,2282.6784615384613
CUST1299,2960.5358333333334
CUST7399,2426.6809090909087
CUST2170,2468.2888888888892
CUST7300,3034.4518181818185
CUST9957,2738.2944444444443
CUST8270,2171.4993333333337
CUST8011,2370.8468749999997
CUST8088,2663.0241666666666
CUST5936,1199.65
CUST2311,2708.2025
CUST7161,2217.328
CUST2388,2429.209230769231
CUST4211,2349.406
CUST4288,2241.0758333333333
CUST1061,2331.353333333333
CUST3836,2378.9312499999996
CUST7786,2518.652727272727
CUST9814,1766.317647058824
CUST8333,2313.43
CUST1686,3169.1025
CUST1343,2359.516666666667
CUST4133,2664.3500000000004
CUST6964,2207.022
CUST7243,3957.859999999999
CUST2033,2379.013076923077
CUST7022,2947.1516666666666
CUST2252,2877.9566666666665
CUST5875,2303.0063636363634
CUST3975,2126.2809090909095
CUST8497,3160.02875
CUST1122,2803.812
CUST4352,2526.6693333333333
CUST4697,2047.2969230769231
CUST8152,2863.2099999999996
CUST2797,3502.9799999999996
CUST9727,2882.4345454545455
CUST6392,2179.1588888888887
CUST3427,2622.843
CUST6657,2645.38
CUST5527,2367.9933333333333
CUST9083,3392.154
CUST5746,2419.867333333333
CUST3646,2715.4477777777774
CUST6436,2654.805
CUST3383,2699.57
CUST5283,1945.7200000000003
CUST9546,2672.522142857143
CUST6714,2046.9424999999999
CUST8886,2352.9211111111113
CUST3564,2566.935454545455
CUST9338,2629.8377777777773
CUST5464,3222.0775
CUST5138,2458.790555555556
CUST9664,2903.7108333333326
CUST3038,2866.629411764706
CUST6248,2194.206842105263
CUST3259,1440.7549999999999
CUST6029,2504.1346666666664
CUST9405,3237.504166666667
CUST5359,2408.5454545454545
CUST5605,2534.2488888888893
CUST9159,2815.5122222222217
CUST6575,2848.2507692307695
CUST3705,2609.6800000000003
CUST9020,2834.920833333333
CUST6495,2033.982857142857
CUST4907,2903.763333333333
CUST6150,2692.31625
CUST3320,2430.826363636364
CUST5220,2881.441538461538
CUST2807,1739.886
CUST9784,2725.635454545454
CUST7816,1946.91625
CUST5041,2081.302857142857
CUST6331,2367.799166666667
CUST3141,2197.4392857142852
CUST1916,2035.0575000000001
CUST8966,2953.24375
CUST3484,2922.546666666667
CUST5584,2540.99875
CUST9241,2452.991875
CUST3263,2953.4392307692306
CUST6013,3006.4025
CUST4844,1979.9645454545455
CUST2944,2354.055833333334
CUST5363,2432.179
CUST9163,2593.3300000000004
CUST8825,2338.1985714285715
CUST9302,2351.2985714285714
CUST5102,2365.9661538461537
CUST7955,1903.784
CUST1855,2340.2075000000004
CUST3002,2387.962
CUST6272,2126.243
